,Name,ex_scroll,total_app,offset,min
162,DIRTY CASE MUKSI,0,1,0,1
163,ACG7,0,1,0,1
164,ACG8,0,1,0,1
165,BOOGIEWOOGIE,0,1,0,1
166,CROSS THROUGH,0,1,0,1
167,WARMUP FOOT CUT,0,1,0,1
168,WARMUP 4,0,1,0,1
169,POGO POWER,0,1,0,1
170,PULL THROUGH,0,1,0,1
171,BUMP IT,0,1,0,1
172,ARIGGARI,0,1,0,1
173,AP1,0,1,0,1
174,L2,0,1,0,1
175,SUPERNOVA,0,1,0,1
176,LIFT OFF,0,1,0,1
177,MASTERFUL GAP,0,1,0,1
178,HANGOVER,0,1,0,1
179,ACG12,0,1,0,1
180,DEJA ENTENDU,0,1,0,1
181,HEAVY RAIN,0,1,0,1
182,PHYSICAL THERAPY,0,1,0,1
183,SHORTROUND VAR,0,1,0,1
184,VERITGO,0,1,0,1
185,NOT TOO BAD,0,1,0,1
186,GOOD TIMES,0,1,0,1
187,ACG13,0,1,0,1
188,ACG14,0,1,0,1
189,LOMMEL TOM,0,1,0,1
190,DR. NO,0,1,0,1
191,SALAD NIGHTS,0,1,0,1
192,LINK TO THE PAST,0,1,0,1
193,ACG15,0,1,0,1
194,ACG16,0,1,0,1
195,LIGHTER FEATHER,0,1,0,1
196,KOR V6,0,1,0,1
197,SUBMARINE,0,1,0,1
198,7-2=5,0,1,0,1
199,BLUEFISH,0,1,0,1
200,ACG17,0,1,0,1
201,LEVZEA POWER,0,1,0,1
202,PLEVEN STYLE DG,0,1,0,1
203,BOWLING ALONE,0,1,0,1
204,EXTREME,0,1,0,1
205,DAMN DANIEL,0,1,0,1
206,WHITE VANS,0,1,0,1
207,AP2,0,1,0,1
208,KLINGON EASY,0,1,0,1
209,POPOPO,0,1,0,1
210,NO SUN NO HOPE,0,1,0,1
211,POGO,1,65,0,9
212,TWIST,2,72,0,9
213,wow,0,1,0,1
214,HONEY MUSTARD,0,1,0,1
215,BLACK CAT'S,0,1,0,1
216,PLEVEN DAGE,0,1,0,1
217,PLEVEN DA SI! EBE,0,1,0,1
218,REDFISH,0,1,0,1
219,ACG19,0,1,0,1
220,ACG20,0,1,0,1
221,DAY O,0,1,0,1
222,FOIL,0,1,0,1
223,CAUGHT,0,1,0,1
224,MY NAME HOJUN,0,1,0,1
225,NOT BEN MOON,0,1,0,1
226,COME ON BABY,0,1,0,1
227,PRODUCE 101 AIOAI,0,1,0,1
228,GIRLS DAY MINAH,0,1,0,1
229,FT1,0,1,0,1
230,1,27,3411,0,9
231,2,14,2759,0,9
232,LAY BACK,0,1,0,1
233,LANKY MANKY,0,1,0,1
234,BACK THREE-SOME: 3EA HAND,0,1,0,1
235,QUIET TENACITY,0,1,0,1
236,FT3,0,1,0,1
237,FT2,0,1,0,1
238,12 MONKEYS,0,1,0,1
239,PE. TRAINING,0,1,0,1
240,TESS WIDE,0,1,0,1
241,GYMRAT DOWNGRADE READY,0,1,0,1
242,LANKY BASTARD,0,1,0,1
243,SLOWLY,0,1,0,1
244,JOO GYUL KYUNG 10!,0,1,0,1
245,THE FLIPPER FRENZY WARM U,0,1,0,1
246,KIM SE JEONG IOI!,0,1,0,1
247,ACG21,0,1,0,1
248,ACG22,0,1,0,1
249,ITS IN THE BONE,0,1,0,1
250,CHOI YOOJUNG IO!,0,1,0,1
251,JEONG CHAEYEON IO!,0,1,0,1
252,JEON SOMI IO!,0,1,0,1
253,L3,0,1,0,1
254,L4,0,1,0,1
255,SCHLDR,0,1,0,1
256,HOT TODDY,0,1,0,1
257,KIMBAB,0,1,0,1
258,RAW BUTTER,0,1,0,1
259,THE OWL,0,1,0,1
260,FEEL THE SLOPER,0,1,0,1
261,1,31,3411,0,9
262,2,19,2759,0,9
263,BOYA,0,1,0,1
264,EZ,0,1,0,1
265,EZ2,0,1,0,1
266,BIRDS OF A FEATHER,0,1,0,1
267,TASTY OUTLIER,0,1,0,1
268,AN CAP CIRCUIT 1,0,1,0,1
269,PIS,0,1,0,1
270,SERAPHIM,0,1,0,1
271,SILLY WABBIT,0,1,0,1
272,KIM SOHYE 101,0,1,0,1
273,4 CRIMPS LOVERS,0,1,0,1
274,AN CAP V2,0,1,0,1
275,KIM CHUNGHA IOI,0,1,0,1
276,LIM NAYOUNG IO!,0,1,0,1
277,YU YEONJUNG IO!,0,1,0,1
278,KANG MINA,0,1,0,1
279,KANG MINA IOI,0,1,0,1
280,KIM DOYEON,0,1,0,1
281,KIM DOYEON IOI,0,1,0,1
282,L5,0,1,0,1
283,OFF SETH LBS,0,1,0,1
284,PULP FICTION,0,1,0,1
285,AIR FORCE,0,1,0,1
286,YEAH A!,0,1,0,1
287,4:20,0,1,0,1
288,MATCH GAME,0,1,0,1
289,THAT'S THE 1,0,1,0,1
290,S&AMP;L2,0,1,0,1
291,Bw2,0,1,0,1
292,BRIGHT LIGHTS,0,1,0,1
293,THE MINISTER'S CAT IS...,0,1,0,1
294,BENJI ZAX &AMP; THE ALIEN PRI,0,1,0,1
295,MARILYN WHIRLWIND,0,1,0,1
296,TNT,0,1,0,1
297,AN CAP V2.1,0,1,0,1
298,WARM UP,1,315,0,9
299,THE CONN ARTIST,0,1,0,1
300,RIGHT HAND FOR LEFT HAND,0,1,0,1
301,EGG SQUATER,0,1,0,1
302,POWER SPOT REQUIRED,0,1,0,1
303,FROGET ABOUT IT,0,1,0,1
304,I FORGOT MY SOCK,0,1,0,1
305,ACG23,0,1,0,1
